add-yield-none,12,100000,2400000,250967159,104,1459
add-none,1,100,200,141217,706,0
add-none,1,1000,2000,141330,70,0
add-none,1,10000,20000,231895,11,0
add-none,1,100000,200000,1414620,7,0
add-none,1,1000000,2000000,11670811,5,0
add-none,2,100,400,142506,356,0
add-none,2,1000,4000,149635,37,0
add-none,2,10000,40000,652906,16,105
add-none,2,100000,400000,5656472,14,1019
add-none,2,1000000,4000000,54690756,13,9847
add-none,4,100,800,163684,204,1
add-none,4,1000,8000,245028,30,44
add-none,4,10000,80000,1870766,23,391
add-none,4,100000,800000,18294053,22,3950
add-none,4,1000000,8000000,162827242,20,33759
add-yield-none,1,100,200,299883,1499,0
add-yield-none,1,1000,2000,1752253,876,0
add-yield-none,1,10000,20000,15513815,775,0
add-yield-none,1,100000,200000,151949172,759,0
add-yield-none,1,1000000,2000000,1468274098,734,0
add-yield-none,2,100,400,320608,801,0
add-yield-none,2,1000,4000,2024960,506,1
add-yield-none,2,10000,40000,18044225,451,0
add-yield-none,2,100000,400000,170692863,426,0
add-yield-none,2,1000000,4000000,1725683681,431,-1
add-yield-none,4,100,800,352892,441,1
add-yield-none,4,1000,8000,2024724,253,0
add-yield-none,4,10000,80000,18782254,234,6
add-yield-none,4,100000,800000,182225026,227,231
add-yield-none,4,1000000,8000000,1831709476,228,5236
add-yield-m,2,10000,40000,48550161,1213,0
add-yield-m,4,10000,80000,132028201,1650,0
add-yield-m,8,10000,160000,248355644,1552,0
add-yield-m,12,10000,240000,417598555,1739,0
add-none,2,100,400,160493,401,0
add-none,2,1000,4000,207205,51,11
add-none,2,10000,40000,675943,16,95
add-none,2,100000,400000,6196776,15,1238
add-none,4,100,800,180248,225,0
add-none,4,1000,8000,236105,29,2
add-none,4,10000,80000,1674671,20,437
add-none,4,100000,800000,18109341,22,4527
add-none,8,100,1600,304988,190,0
add-none,8,1000,16000,368466,23,36
add-none,8,10000,160000,4100754,25,578
add-none,8,100000,1600000,40366542,25,5941
add-none,12,100,2400,412744,171,0
add-none,12,1000,24000,526201,21,124
add-none,12,10000,240000,6947987,28,716
add-none,12,100000,2400000,70317839,29,7822
